rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split0_train_score
1,-0.34128918903905264,0.0,-0.35738224897523485,0.0,0.012688159942626953,0.0,0.0015349388122558594,0.0,100,{'model__alpha': 100},-0.34128918903905264,-0.35738224897523485
2,-0.34209526760181064,0.0,-0.35710134987843817,0.0,0.010857582092285156,0.0,0.0017497539520263672,0.0,10,{'model__alpha': 10},-0.34209526760181064,-0.35710134987843817
3,-0.3422056111473713,0.0,-0.35709773113356386,0.0,0.01324605941772461,0.0,0.0015845298767089844,0.0,1,{'model__alpha': 1},-0.3422056111473713,-0.35709773113356386
4,-0.3422148994549785,0.0,-0.35709357221152593,0.0,0.007903575897216797,0.0,0.00194549560546875,0.0,0.0001,{'model__alpha': 0.0001},-0.3422148994549785,-0.35709357221152593
5,-0.3422149588129678,0.0,-0.3570935744331466,0.0,0.008270502090454102,0.0,0.0028820037841796875,0.0,0.001,{'model__alpha': 0.001},-0.3422149588129678,-0.3570935744331466
6,-0.3422154222752804,0.0,-0.357093727791227,0.0,0.02358412742614746,0.0,0.0015513896942138672,0.0,0.01,{'model__alpha': 0.01},-0.3422154222752804,-0.357093727791227
7,-0.34221608077944293,0.0,-0.35709574750576745,0.0,0.012491941452026367,0.0,0.0016264915466308594,0.0,0.1,{'model__alpha': 0.1},-0.34221608077944293,-0.35709574750576745
8,-0.3471759169063298,0.0,-0.370999957692292,0.0,0.005120754241943359,0.0,0.0015637874603271484,0.0,1000,{'model__alpha': 1000},-0.3471759169063298,-0.370999957692292
9,-0.4723834490679258,0.0,-0.5172158092107321,0.0,0.003440380096435547,0.0,0.0010018348693847656,0.0,10000,{'model__alpha': 10000},-0.4723834490679258,-0.5172158092107321
